"field_id","owner","concept","java_name","java_type","db_column","sql_type","api_name","typescript_type","nullable","validation","release","data_classification","reference"
"SUP-DOCUMENT","ENT-SUPPLIER","Documento","document","String","document","varchar(14)","document","string","YES","11 ou 14 dígitos","INTERMEDIARIO","PERSONAL","RF-EST-002"
"SUP-EMAIL","ENT-SUPPLIER","E-mail","email","String","email","varchar(254)","email","string","YES","Válido","INTERMEDIARIO","PERSONAL","RF-EST-002"
"SUP-PHONE","ENT-SUPPLIER","Telefone","phone","String","phone","varchar(20)","phone","string","YES","E.164 quando possível","INTERMEDIARIO","PERSONAL","RF-EST-002"
"STM-UNIT-ID","ENT-STOCK-MOVEMENT","Unidade","unitId","UUID","unit_id","uuid","unitId","string","NO","FK","INTERMEDIARIO","INTERNAL","ENT-UNIT"
"STM-PRODUCT-ID","ENT-STOCK-MOVEMENT","Produto","productId","UUID","product_id","uuid","productId","string","NO","FK","INTERMEDIARIO","INTERNAL","ENT-PRODUCT"
"STM-TYPE","ENT-STOCK-MOVEMENT","Tipo","type","StockMovementType","type","varchar(30)","type","StockMovementType","NO","Enum canônico","INTERMEDIARIO","INTERNAL","StockMovementType"
"STM-QUANTITY","ENT-STOCK-MOVEMENT","Quantidade assinada","quantity","BigDecimal","quantity","numeric(19,3)","quantity","string","NO","Não zero","INTERMEDIARIO","INTERNAL","RN-EST-001"
"STM-UNIT-COST","ENT-STOCK-MOVEMENT","Custo unitário","unitCost","BigDecimal","unit_cost","numeric(19,2)","unitCost","string","YES",">=0","INTERMEDIARIO","INTERNAL","RF-EST-010"
"STM-REFERENCE-TYPE","ENT-STOCK-MOVEMENT","Origem","referenceType","String","reference_type","varchar(60)","referenceType","string","YES","Código estável","INTERMEDIARIO","INTERNAL","RN-EST-003"
"STM-REFERENCE-ID","ENT-STOCK-MOVEMENT","ID de origem","referenceId","UUID","reference_id","uuid","referenceId","string","YES","Par com tipo","INTERMEDIARIO","INTERNAL","RN-EST-003"
"STM-REASON","ENT-STOCK-MOVEMENT","Motivo","reason","String","reason","varchar(500)","reason","string","YES","Obrigatório em ajuste/perda","INTERMEDIARIO","INTERNAL","RF-EST-006"
"STM-OCCURRED-AT","ENT-STOCK-MOVEMENT","Ocorrência","occurredAt","Instant","occurred_at","timestamptz","occurredAt","string","NO","UTC","INTERMEDIARIO","INTERNAL","RN-EST-003"
"LPR-NAME","ENT-LOYALTY-PROGRAM","Nome","name","String","name","varchar(120)","name","string","NO","2..120","INTERMEDIARIO","PUBLIC","RF-FID-001"
"LPR-POINTS-RATE","ENT-LOYALTY-PROGRAM","Pontos por moeda","pointsPerCurrency","BigDecimal","points_per_currency","numeric(12,4)","pointsPerCurrency","string","NO",">=0","INTERMEDIARIO","INTERNAL","RF-FID-002"
"LPR-EXPIRY-DAYS","ENT-LOYALTY-PROGRAM","Validade em dias","expiryDays","Integer","expiry_days","integer","expiryDays","number","YES",">0","INTERMEDIARIO","INTERNAL","RF-FID-002"
"LPR-ACTIVE","ENT-LOYALTY-PROGRAM","Ativo","active","Boolean","active","boolean","active","boolean","NO","Padrão true","INTERMEDIARIO","INTERNAL","RF-FID-001"
"LAC-PROGRAM-ID","ENT-LOYALTY-ACCOUNT","Programa","programId","UUID","program_id","uuid","programId","string","NO","FK","INTERMEDIARIO","INTERNAL","ENT-LOYALTY-PROGRAM"
"LAC-CUSTOMER-ID","ENT-LOYALTY-ACCOUNT","Cliente","customerId","UUID","customer_id","uuid","customerId","string","NO","Par único por programa","INTERMEDIARIO","PERSONAL","ENT-CUSTOMER"
"LAC-STATUS","ENT-LOYALTY-ACCOUNT","Estado","status","String","status","varchar(20)","status","string","NO","ACTIVE SUSPENDED CLOSED","INTERMEDIARIO","INTERNAL","RF-FID-001"
"LTR-ACCOUNT-ID","ENT-LOYALTY-TRANSACTION","Conta","accountId","UUID","account_id","uuid","accountId","string","NO","FK","INTERMEDIARIO","INTERNAL","ENT-LOYALTY-ACCOUNT"
"LTR-TYPE","ENT-LOYALTY-TRANSACTION","Tipo","type","String","type","varchar(20)","type","string","NO","CREDIT DEBIT REVERSAL EXPIRY","INTERMEDIARIO","INTERNAL","RN-FID-004"
"LTR-POINTS","ENT-LOYALTY-TRANSACTION","Pontos assinados","points","Long","points","bigint","points","number","NO","Não zero","INTERMEDIARIO","INTERNAL","RN-FID-004"
"LTR-REFERENCE-TYPE","ENT-LOYALTY-TRANSACTION","Origem","referenceType","String","reference_type","varchar(60)","referenceType","string","NO","Código estável","INTERMEDIARIO","INTERNAL","RN-FID-001"
"LTR-REFERENCE-ID","ENT-LOYALTY-TRANSACTION","ID de origem","referenceId","UUID","reference_id","uuid","referenceId","string","NO","UUID","INTERMEDIARIO","INTERNAL","RN-FID-001"
"LTR-REASON","ENT-LOYALTY-TRANSACTION","Motivo","reason","String","reason","varchar(500)","reason","string","YES","Obrigatório em ajuste operacional; até 500","INTERMEDIARIO","INTERNAL","RN-FID-004"
"LTR-EXPIRES-AT","ENT-LOYALTY-TRANSACTION","Expiração","expiresAt","Instant","expires_at","timestamptz","expiresAt","string","YES","UTC","INTERMEDIARIO","INTERNAL","RN-FID-003"
"CPL-NAME","ENT-CUSTOMER-PLAN","Nome","name","String","name","varchar(120)","name","string","NO","2..120","INTERMEDIARIO","PUBLIC","RF-FID-005"
"CPL-PRICE","ENT-CUSTOMER-PLAN","Preço","price","BigDecimal","price","numeric(19,2)","price","string","NO",">=0","INTERMEDIARIO","PUBLIC","RF-FID-005"
"CPL-VALIDITY-DAYS","ENT-CUSTOMER-PLAN","Validade","validityDays","Integer","validity_days","integer","validityDays","number","YES",">0","INTERMEDIARIO","INTERNAL","RF-FID-005"
"CPL-BILLING-CYCLE","ENT-CUSTOMER-PLAN","Ciclo","billingCycle","String","billing_cycle","varchar(20)","billingCycle","string","YES","ONE_TIME MONTHLY","INTERMEDIARIO","INTERNAL","RF-FID-007"
"CPL-ACTIVE","ENT-CUSTOMER-PLAN","Ativo","active","Boolean","active","boolean","active","boolean","NO","Padrão true","INTERMEDIARIO","INTERNAL","RF-FID-005"
"CPI-PLAN-ID","ENT-CUSTOMER-PLAN-ITEM","Plano","planId","UUID","plan_id","uuid","planId","string","NO","FK; par único com serviço","INTERMEDIARIO","INTERNAL","ENT-CUSTOMER-PLAN"
"CPI-SERVICE-ID","ENT-CUSTOMER-PLAN-ITEM","Serviço","serviceId","UUID","service_id","uuid","serviceId","string","NO","FK do tenant","INTERMEDIARIO","INTERNAL","ENT-SERVICE"
"CPI-CREDITS","ENT-CUSTOMER-PLAN-ITEM","Créditos incluídos","credits","Integer","credits","integer","credits","number","NO","1..10000","INTERMEDIARIO","INTERNAL","RF-FID-005"
"CPS-CUSTOMER-ID","ENT-CUSTOMER-PLAN-SUBSCRIPTION","Cliente","customerId","UUID","customer_id","uuid","customerId","string","NO","FK","INTERMEDIARIO","PERSONAL","ENT-CUSTOMER"
"CPS-PLAN-ID","ENT-CUSTOMER-PLAN-SUBSCRIPTION","Plano","planId","UUID","plan_id","uuid","planId","string","NO","FK","INTERMEDIARIO","INTERNAL","ENT-CUSTOMER-PLAN"
"CPS-STATUS","ENT-CUSTOMER-PLAN-SUBSCRIPTION","Estado","status","String","status","varchar(20)","status","string","NO","ACTIVE PAUSED CANCELED EXPIRED","INTERMEDIARIO","INTERNAL","RF-FID-007"
"CPS-STARTS-AT","ENT-CUSTOMER-PLAN-SUBSCRIPTION","Início","startsAt","Instant","starts_at","timestamptz","startsAt","string","NO","UTC","INTERMEDIARIO","INTERNAL","RF-FID-007"
"CPS-ENDS-AT","ENT-CUSTOMER-PLAN-SUBSCRIPTION","Fim","endsAt","Instant","ends_at","timestamptz","endsAt","string","YES","UTC","INTERMEDIARIO","INTERNAL","RF-FID-007"
"MTP-CHANNEL","ENT-MESSAGE-TEMPLATE","Canal","channel","NotificationChannel","channel","varchar(20)","channel","NotificationChannel","NO","Enum canônico","INTERMEDIARIO","INTERNAL","NotificationChannel"
"MTP-KEY","ENT-MESSAGE-TEMPLATE","Chave","key","String","template_key","varchar(120)","key","string","NO","Única por tenant/canal","INTERMEDIARIO","INTERNAL","RF-CRM-005"
"MTP-NAME","ENT-MESSAGE-TEMPLATE","Nome","name","String","name","varchar(120)","name","string","NO","2..120","INTERMEDIARIO","INTERNAL","RF-CRM-005"
"MTP-PURPOSE","ENT-MESSAGE-TEMPLATE","Finalidade","purpose","ConsentPurpose","purpose","varchar(30)","purpose","ConsentPurpose","NO","TRANSACTIONAL MARKETING","INTERMEDIARIO","INTERNAL","RF-CRM-005"
"MTP-SUBJECT","ENT-MESSAGE-TEMPLATE","Assunto","subject","String","subject","varchar(160)","subject","string","YES","Obrigatório para e-mail; até 160","INTERMEDIARIO","PERSONAL","RF-CRM-005"
"MTP-BODY","ENT-MESSAGE-TEMPLATE","Corpo","body","String","body","text","body","string","NO","Variáveis permitidas; limite por canal","INTERMEDIARIO","PERSONAL","RF-CRM-005"
"MTP-LANGUAGE","ENT-MESSAGE-TEMPLATE","Idioma","language","String","language","varchar(16)","language","string","NO","BCP 47","INTERMEDIARIO","INTERNAL","RF-CRM-005"
"MTP-PROVIDER-ID","ENT-MESSAGE-TEMPLATE","ID no provedor","providerTemplateId","String","provider_template_id","varchar(160)","providerTemplateId","string","YES","Único por conexão","INTERMEDIARIO","SECRET","RF-NOT-005"
"MTP-STATUS","ENT-MESSAGE-TEMPLATE","Estado","status","String","status","varchar(20)","status","string","NO","DRAFT PENDING APPROVED REJECTED INACTIVE","INTERMEDIARIO","INTERNAL","RF-CRM-005"
"INC-UNIT-ID","ENT-INTEGRATION-CONNECTION","Unidade opcional","unitId","UUID","unit_id","uuid","unitId","string","YES","FK","INTERMEDIARIO","INTERNAL","ENT-UNIT"
"INC-TYPE","ENT-INTEGRATION-CONNECTION","Tipo","type","String","type","varchar(40)","type","string","NO","WHATSAPP GOOGLE_CALENDAR PAYMENT EMAIL","INTERMEDIARIO","INTERNAL","RF-INT-005"
"INC-STATUS","ENT-INTEGRATION-CONNECTION","Estado","status","String","status","varchar(20)","status","string","NO","CONNECTED DEGRADED EXPIRED DISCONNECTED","INTERMEDIARIO","INTERNAL","RF-INT-005"
"INC-EXTERNAL-ID","ENT-INTEGRATION-CONNECTION","Conta externa","externalAccountId","String","external_account_id","varchar(180)","externalAccountId","string","YES","ID do provedor","INTERMEDIARIO","SECRET","RF-INT-001"
"INC-CREDENTIAL-REF","ENT-INTEGRATION-CONNECTION","Referência ao segredo","credentialReference","String","credential_reference","varchar(255)","-","never","YES","Secret manager; não contém segredo","INTERMEDIARIO","SECRET","RNF-SEG-004"
"INC-SCOPES","ENT-INTEGRATION-CONNECTION","Escopos","scopes","Set<String>","scopes","jsonb","scopes","string[]","YES","Lista permitida","INTERMEDIARIO","SECRET","RF-INT-001"
"INC-EXPIRES-AT","ENT-INTEGRATION-CONNECTION","Expiração de autorização","expiresAt","Instant","expires_at","timestamptz","expiresAt","string","YES","UTC","INTERMEDIARIO","SECRET","RF-INT-001"
"INC-LAST-SYNC","ENT-INTEGRATION-CONNECTION","Última sincronização","lastSyncAt","Instant","last_sync_at","timestamptz","lastSyncAt","string","YES","UTC","INTERMEDIARIO","INTERNAL","RF-INT-002"
"SAP-CODE","ENT-SAAS-PLAN","Código","code","String","code","varchar(60)","code","string","NO","Único e imutável","INTERMEDIARIO","INTERNAL","RF-ADM-004"
"SAP-NAME","ENT-SAAS-PLAN","Nome","name","String","name","varchar(120)","name","string","NO","2..120","INTERMEDIARIO","PUBLIC","RF-ADM-004"
"SAP-MONTHLY-PRICE","ENT-SAAS-PLAN","Preço mensal","monthlyPrice","BigDecimal","monthly_price","numeric(19,2)","monthlyPrice","string","NO",">=0; versionado","INTERMEDIARIO","PUBLIC","RF-ADM-004"
"SAP-ANNUAL-PRICE","ENT-SAAS-PLAN","Preço anual","annualPrice","BigDecimal","annual_price","numeric(19,2)","annualPrice","string","NO",">=0; versionado","INTERMEDIARIO","PUBLIC","RF-ADM-004"
"SAP-LIMITS","ENT-SAAS-PLAN","Limites comerciais","limits","Map<String, Long>","limits","jsonb","limits","Record<string, number>","NO","Chaves aprovadas; valores >=0","INTERMEDIARIO","INTERNAL","RN-ASS-002"
"SAP-FEATURES","ENT-SAAS-PLAN","Recursos incluídos","features","Set<String>","features","jsonb","features","string[]","NO","Chaves de feature aprovadas","INTERMEDIARIO","INTERNAL","RN-ASS-001"
"SAP-ACTIVE","ENT-SAAS-PLAN","Ativo","active","Boolean","active","boolean","active","boolean","NO","Padrão true","INTERMEDIARIO","INTERNAL","RF-ADM-004"
"SAP-EFFECTIVE-FROM","ENT-SAAS-PLAN","Início da vigência","effectiveFrom","LocalDate","effective_from","date","effectiveFrom","string","NO","Data civil; nova versão para alterar preço","INTERMEDIARIO","INTERNAL","RF-ADM-004"
"SAP-EFFECTIVE-TO","ENT-SAAS-PLAN","Fim da vigência","effectiveTo","LocalDate","effective_to","date","effectiveTo","string","YES",">= início","INTERMEDIARIO","INTERNAL","RF-ADM-004"
"SUB-PLAN-ID","ENT-SUBSCRIPTION","Plano","planId","UUID","plan_id","uuid","planId","string","NO","FK","INTERMEDIARIO","INTERNAL","ENT-SAAS-PLAN"
"SUB-STATUS","ENT-SUBSCRIPTION","Estado","status","SubscriptionStatus","status","varchar(20)","status","SubscriptionStatus","NO","Enum canônico","INTERMEDIARIO","INTERNAL","SubscriptionStatus"
"SUB-BILLING-CYCLE","ENT-SUBSCRIPTION","Ciclo","billingCycle","String","billing_cycle","varchar(20)","billingCycle","string","NO","MONTHLY ANNUAL","INTERMEDIARIO","INTERNAL","RF-ASS-002"
"SUB-TRIAL-END","ENT-SUBSCRIPTION","Fim do trial","trialEndsAt","Instant","trial_ends_at","timestamptz","trialEndsAt","string","YES","UTC","INTERMEDIARIO","INTERNAL","RF-ASS-001"
"SUB-PERIOD-START","ENT-SUBSCRIPTION","Início do período","currentPeriodStart","Instant","current_period_start","timestamptz","currentPeriodStart","string","NO","UTC","INTERMEDIARIO","INTERNAL","RF-ASS-002"
"SUB-PERIOD-END","ENT-SUBSCRIPTION","Fim do período","currentPeriodEnd","Instant","current_period_end","timestamptz","currentPeriodEnd","string","NO","> início","INTERMEDIARIO","INTERNAL","RF-ASS-002"
"SUB-EXTERNAL-CUSTOMER","ENT-SUBSCRIPTION","Cliente no gateway","externalCustomerId","String","external_customer_id","varchar(160)","-","never","YES","Único no provedor","INTERMEDIARIO","SECRET","RF-ASS-010"
"SUB-EXTERNAL-SUBSCRIPTION","ENT-SUBSCRIPTION","Assinatura no gateway","externalSubscriptionId","String","external_subscription_id","varchar(160)","-","never","YES","Único no provedor","INTERMEDIARIO","SECRET","RF-ASS-010"
"SUB-CANCEL-AT","ENT-SUBSCRIPTION","Cancelamento efetivo","cancelAt","Instant","cancel_at","timestamptz","cancelAt","string","YES","UTC","INTERMEDIARIO","INTERNAL","RF-ASS-005"
"FEN-SUBSCRIPTION-ID","ENT-FEATURE-ENTITLEMENT","Assinatura","subscriptionId","UUID","subscription_id","uuid","subscriptionId","string","NO","FK","INTERMEDIARIO","INTERNAL","ENT-SUBSCRIPTION"
"FEN-FEATURE-KEY","ENT-FEATURE-ENTITLEMENT","Recurso","featureKey","String","feature_key","varchar(100)","featureKey","string","NO","Código estável","INTERMEDIARIO","INTERNAL","RN-ASS-001"
"FEN-ENABLED","ENT-FEATURE-ENTITLEMENT","Habilitado","enabled","Boolean","enabled","boolean","enabled","boolean","NO","Padrão false","INTERMEDIARIO","INTERNAL","RN-ASS-001"
"FEN-LIMIT","ENT-FEATURE-ENTITLEMENT","Limite","limitValue","Long","limit_value","bigint","limitValue","number","YES",">=0","INTERMEDIARIO","INTERNAL","RN-ASS-002"
"FEN-VALID-FROM","ENT-FEATURE-ENTITLEMENT","Vigência inicial","validFrom","Instant","valid_from","timestamptz","validFrom","string","NO","UTC","INTERMEDIARIO","INTERNAL","RN-ASS-001"
"FEN-VALID-TO","ENT-FEATURE-ENTITLEMENT","Vigência final","validTo","Instant","valid_to","timestamptz","validTo","string","YES","> início","INTERMEDIARIO","INTERNAL","RN-ASS-001"
"CAM-NAME","ENT-CAMPAIGN","Nome","name","String","name","varchar(160)","name","string","NO","2..160","FINAL","INTERNAL","RF-CRM-007"
"CAM-STATUS","ENT-CAMPAIGN","Estado","status","String","status","varchar(20)","status","string","NO","DRAFT SCHEDULED RUNNING COMPLETED CANCELED","FINAL","INTERNAL","RF-CRM-007"
"CAM-SEGMENT","ENT-CAMPAIGN","Definição do público","segmentDefinition","JsonNode","segment_definition","jsonb","segmentDefinition","object","NO","Schema versionado","FINAL","PERSONAL","RF-CRM-007"
"CAM-TEMPLATE-ID","ENT-CAMPAIGN","Template","templateId","UUID","template_id","uuid","templateId","string","NO","FK","FINAL","INTERNAL","ENT-MESSAGE-TEMPLATE"
"CAM-SCHEDULED-AT","ENT-CAMPAIGN","Agendamento","scheduledAt","Instant","scheduled_at","timestamptz","scheduledAt","string","YES","UTC","FINAL","INTERNAL","RF-CRM-007"
"CRA-NAME","ENT-CRM-AUTOMATION","Nome","name","String","name","varchar(160)","name","string","NO","2..160","FINAL","INTERNAL","RF-CRM-008"
"CRA-TRIGGER","ENT-CRM-AUTOMATION","Gatilho","trigger","String","trigger","varchar(50)","trigger","string","NO","APPOINTMENT_COMPLETED CUSTOMER_BIRTHDAY CUSTOMER_INACTIVE RETURN_DUE","FINAL","INTERNAL","RF-CRM-008"
"CRA-DELAY-MINUTES","ENT-CRM-AUTOMATION","Atraso","delayMinutes","Integer","delay_minutes","integer","delayMinutes","number","NO","0..525600","FINAL","INTERNAL","RF-CRM-008"
"CRA-CONDITIONS","ENT-CRM-AUTOMATION","Condições","conditions","JsonNode","conditions","jsonb","conditions","object","YES","Schema versionado e lista permitida","FINAL","PERSONAL","RF-CRM-008"
"CRA-CHANNEL","ENT-CRM-AUTOMATION","Canal","channel","NotificationChannel","channel","varchar(20)","channel","NotificationChannel","NO","EMAIL WHATSAPP SMS","FINAL","INTERNAL","RF-CRM-008"
"CRA-TEMPLATE-ID","ENT-CRM-AUTOMATION","Template","templateId","UUID","template_id","uuid","templateId","string","NO","FK do tenant","FINAL","INTERNAL","ENT-MESSAGE-TEMPLATE"
"CRA-ENABLED","ENT-CRM-AUTOMATION","Habilitada","enabled","Boolean","enabled","boolean","enabled","boolean","NO","Padrão false até aprovação","FINAL","INTERNAL","RF-CRM-008"
"CTP-LIMITS","ENT-CONTACT-POLICY","Limites por canal","limits","List<ContactLimit>","limits","jsonb","limits","ContactLimit[]","NO","Canal único; máximo e janela positivos","FINAL","INTERNAL","RF-CRM-009"
"CTP-QUIET-START","ENT-CONTACT-POLICY","Início do silêncio","quietHoursStart","LocalTime","quiet_hours_start","time","quietHoursStart","string","NO","Hora civil no fuso da política","FINAL","INTERNAL","RF-CRM-009"
"CTP-QUIET-END","ENT-CONTACT-POLICY","Fim do silêncio","quietHoursEnd","LocalTime","quiet_hours_end","time","quietHoursEnd","string","NO","Intervalo pode atravessar meia-noite","FINAL","INTERNAL","RF-CRM-009"
"CTP-TIMEZONE","ENT-CONTACT-POLICY","Fuso","timeZone","ZoneId","time_zone","varchar(60)","timeZone","string","NO","IANA","FINAL","INTERNAL","RF-CRM-009"
"DPR-USER-ID","ENT-DASHBOARD-PREFERENCE","Usuário","userId","UUID","user_id","uuid","userId","string","NO","Par único por tenant","FINAL","INTERNAL","ENT-USER"
"DPR-WIDGET-KEYS","ENT-DASHBOARD-PREFERENCE","Widgets","widgetKeys","Set<String>","widget_keys","jsonb","widgetKeys","string[]","NO","Chaves conhecidas, sem repetição","FINAL","INTERNAL","RF-REL-017"
"API-CRED-NAME","ENT-API-CREDENTIAL","Nome da chave","name","String","name","varchar(120)","name","string","NO","2..120","FINAL","INTERNAL","RF-INT-006"
"API-CRED-PREFIX","ENT-API-CREDENTIAL","Prefixo identificável","prefix","String","prefix","varchar(16)","prefix","string","NO","Único; seguro para exibição","FINAL","INTERNAL","RF-INT-006"
"API-CRED-HASH","ENT-API-CREDENTIAL","Hash da chave","secretHash","String","secret_hash","varchar(255)","-","never","NO","Chave exibida uma vez","FINAL","SECRET","RF-INT-006"
"API-CRED-SCOPES","ENT-API-CREDENTIAL","Escopos","scopes","Set<String>","scopes","jsonb","scopes","string[]","NO","Lista permitida","FINAL","SECRET","RF-INT-006"
"API-CRED-STATUS","ENT-API-CREDENTIAL","Estado","status","String","status","varchar(20)","status","string","NO","ACTIVE REVOKED EXPIRED","FINAL","INTERNAL","RF-INT-006"
"API-CRED-EXPIRES-AT","ENT-API-CREDENTIAL","Expiração","expiresAt","Instant","expires_at","timestamptz","expiresAt","string","YES","UTC e futuro na criação","FINAL","INTERNAL","RF-INT-006"
"API-CRED-LAST-USED-AT","ENT-API-CREDENTIAL","Último uso","lastUsedAt","Instant","last_used_at","timestamptz","lastUsedAt","string","YES","UTC; atualizado de forma assíncrona","FINAL","INTERNAL","RF-INT-006"
"WHS-NAME","ENT-WEBHOOK-SUBSCRIPTION","Nome","name","String","name","varchar(120)","name","string","NO","2..120","FINAL","INTERNAL","RF-INT-007"
"WHS-ENDPOINT","ENT-WEBHOOK-SUBSCRIPTION","Endpoint","endpointUrl","URI","endpoint_url","varchar(500)","endpointUrl","string","NO","HTTPS","FINAL","SECRET","RF-INT-007"
"WHS-SECRET-HASH","ENT-WEBHOOK-SUBSCRIPTION","Segredo","secretHash","String","secret_hash","varchar(255)","-","never","NO","Segredo exibido uma vez","FINAL","SECRET","RF-INT-007"
"WHS-EVENTS","ENT-WEBHOOK-SUBSCRIPTION","Eventos","eventTypes","Set<String>","event_types","jsonb","eventTypes","string[]","NO","Lista permitida","FINAL","INTERNAL","RF-INT-007"
"WHS-STATUS","ENT-WEBHOOK-SUBSCRIPTION","Estado","status","String","status","varchar(20)","status","string","NO","ACTIVE PAUSED DISABLED","FINAL","INTERNAL","RF-INT-007"
"WHS-FAILURE-COUNT","ENT-WEBHOOK-SUBSCRIPTION","Falhas consecutivas","failureCount","Integer","failure_count","integer","failureCount","number","NO",">=0","FINAL","INTERNAL","RF-INT-007"
"WHS-LAST-DELIVERY-AT","ENT-WEBHOOK-SUBSCRIPTION","Última entrega","lastDeliveryAt","Instant","last_delivery_at","timestamptz","lastDeliveryAt","string","YES","UTC","FINAL","INTERNAL","RF-INT-007"
"CUP-CODE","ENT-COUPON","Código","code","String","code","varchar(40)","code","string","NO","Único; A-Z 0-9 _ -","INTERMEDIARIO","INTERNAL","RF-ADM-007"
"CUP-DISCOUNT-TYPE","ENT-COUPON","Tipo de desconto","discountType","String","discount_type","varchar(20)","discountType","string","NO","PERCENTAGE FIXED","INTERMEDIARIO","INTERNAL","RF-ADM-007"
"CUP-DISCOUNT-VALUE","ENT-COUPON","Valor do desconto","discountValue","BigDecimal","discount_value","numeric(19,2)","discountValue","string","NO",">0; percentual <=100","INTERMEDIARIO","INTERNAL","RF-ADM-007"
"CUP-ELIGIBLE-PLAN-IDS","ENT-COUPON","Planos elegíveis","eligiblePlanIds","Set<UUID>","eligible_plan_ids","jsonb","eligiblePlanIds","string[]","YES","Nulo ou vazio significa todos os planos ativos","INTERMEDIARIO","INTERNAL","RF-ADM-007"
"CUP-VALID-FROM","ENT-COUPON","Início da validade","validFrom","Instant","valid_from","timestamptz","validFrom","string","NO","UTC","INTERMEDIARIO","INTERNAL","RF-ADM-007"
"CUP-VALID-TO","ENT-COUPON","Fim da validade","validTo","Instant","valid_to","timestamptz","validTo","string","NO","> início","INTERMEDIARIO","INTERNAL","RF-ADM-007"
"CUP-MAXIMUM-USES","ENT-COUPON","Limite de usos","maximumUses","Integer","maximum_uses","integer","maximumUses","number","NO",">0","INTERMEDIARIO","INTERNAL","RF-ADM-007"
"CUP-USES","ENT-COUPON","Usos confirmados","uses","Integer","uses","integer","uses","number","NO","0..limite; atualização atômica","INTERMEDIARIO","INTERNAL","RF-ADM-007"
"CUP-ACTIVE","ENT-COUPON","Ativo","active","Boolean","active","boolean","active","boolean","NO","Padrão true","INTERMEDIARIO","INTERNAL","RF-ADM-007"
"SPS-ACTOR-USER-ID","ENT-SUPPORT-SESSION","Operador de suporte","actorUserId","UUID","actor_user_id","uuid","actorUserId","string","NO","FK global; não pode ser usuário do tenant-alvo sem privilégio","INTERMEDIARIO","INTERNAL","ENT-USER"
"SPS-REASON","ENT-SUPPORT-SESSION","Motivo","reason","String","reason","varchar(500)","reason","string","NO","10..500; obrigatório","INTERMEDIARIO","INTERNAL","RF-ADM-006"
"SPS-STARTED-AT","ENT-SUPPORT-SESSION","Início","startedAt","Instant","started_at","timestamptz","startedAt","string","NO","UTC","INTERMEDIARIO","INTERNAL","RF-ADM-006"
"SPS-EXPIRES-AT","ENT-SUPPORT-SESSION","Expiração","expiresAt","Instant","expires_at","timestamptz","expiresAt","string","NO","> início; máximo configurado","INTERMEDIARIO","INTERNAL","RF-ADM-006"
"SPS-ENDED-AT","ENT-SUPPORT-SESSION","Encerramento","endedAt","Instant","ended_at","timestamptz","endedAt","string","YES","UTC; revoga o contexto imediatamente","INTERMEDIARIO","INTERNAL","RF-ADM-006"
"POR-UNIT-ID","ENT-PURCHASE-ORDER","Unidade","unitId","UUID","unit_id","uuid","unitId","string","NO","FK","FINAL","INTERNAL","ENT-UNIT"
"POR-SUPPLIER-ID","ENT-PURCHASE-ORDER","Fornecedor","supplierId","UUID","supplier_id","uuid","supplierId","string","NO","FK","FINAL","INTERNAL","ENT-SUPPLIER"
"POR-STATUS","ENT-PURCHASE-ORDER","Estado","status","String","status","varchar(20)","status","string","NO","DRAFT ORDERED PARTIALLY_RECEIVED RECEIVED CANCELED","FINAL","INTERNAL","RF-EST-011"
"POR-EXPECTED-AT","ENT-PURCHASE-ORDER","Previsão de entrega","expectedAt","LocalDate","expected_at","date","expectedAt","string","YES","Data civil","FINAL","INTERNAL","RF-EST-011"
"POR-NOTES","ENT-PURCHASE-ORDER","Observação","notes","String","notes","varchar(1000)","notes","string","YES","Até 1000; sem HTML","FINAL","INTERNAL","RF-EST-011"
"POR-ORDERED-AT","ENT-PURCHASE-ORDER","Pedido","orderedAt","Instant","ordered_at","timestamptz","orderedAt","string","YES","UTC","FINAL","INTERNAL","RF-EST-011"
"POR-TOTAL","ENT-PURCHASE-ORDER","Total","totalAmount","BigDecimal","total_amount","numeric(19,2)","totalAmount","string","NO",">=0","FINAL","INTERNAL","RF-EST-011"
"POI-ORDER-ID","ENT-PURCHASE-ORDER-ITEM","Pedido","purchaseOrderId","UUID","purchase_order_id","uuid","purchaseOrderId","string","NO","FK","FINAL","INTERNAL","ENT-PURCHASE-ORDER"
"POI-PRODUCT-ID","ENT-PURCHASE-ORDER-ITEM","Produto","productId","UUID","product_id","uuid","productId","string","NO","FK","FINAL","INTERNAL","ENT-PRODUCT"
"POI-QUANTITY","ENT-PURCHASE-ORDER-ITEM","Quantidade pedida","quantity","BigDecimal","quantity","numeric(19,3)","quantity","string","NO",">0","FINAL","INTERNAL","RF-EST-011"
"POI-UNIT-COST","ENT-PURCHASE-ORDER-ITEM","Custo unitário","unitCost","BigDecimal","unit_cost","numeric(19,2)","unitCost","string","NO",">=0","FINAL","INTERNAL","RF-EST-011"
"POI-RECEIVED","ENT-PURCHASE-ORDER-ITEM","Quantidade recebida","receivedQuantity","BigDecimal","received_quantity","numeric(19,3)","receivedQuantity","string","NO","0..quantidade ou excesso aprovado","FINAL","INTERNAL","RF-EST-011"
"STR-SOURCE-UNIT","ENT-STOCK-TRANSFER","Origem","sourceUnitId","UUID","source_unit_id","uuid","sourceUnitId","string","NO","FK; diferente do destino","FINAL","INTERNAL","ENT-UNIT"
